entity_name,target_address,bitcoin_address,transaction_id,date,amount_satoshi,amount_btc,amount_usd,wallet_address,type
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,29110,0.0002911,17.0043154,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,1100000,0.011,642.554,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,8203,8.203e-05,4.79170042,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,47031,0.00047031,27.472688339999998,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,900000,0.009,525.726,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,159842,0.00159842,93.37010588,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,35037,0.00035037,20.46651318,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,30180,0.0003018,17.6293452,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,1000000,0.01,584.14,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,13500,0.000135,7.88589,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,10000,0.0001,5.8414,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,25000,0.00025,14.6035,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,99500,0.000995,58.12193,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,16671,0.00016671,9.738197940000001,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,177599,0.00177599,103.74267986000001,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
Alex Jones / Infowars,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,99877,0.00099877,58.34215078,bc1q5kx8976cz6k3dhlcyht0znh22gr754uygq8xhl,
